104	129	30	120	7.89
1	1	2	7	6
2	2	3	8	7
3	3	4	9	8
4	4	5	10	9
5	6	7	12	11
6	7	8	13	12
7	8	9	14	13
8	9	10	15	14
9	11	12	21	20
10	12	13	22	21
11	13	14	23	22
12	14	15	24	23
13	15	16	25	24
14	16	17	26	25
15	17	18	27	26
16	18	19	28	27
17	20	21	30	29
18	21	22	31	30
19	22	23	32	31
20	23	24	33	32
21	24	25	34	33
22	25	26	35	34
23	26	27	36	35
24	27	28	37	36
25	29	30	39	38
26	30	31	40	39
27	31	32	41	40
28	32	33	42	41
29	33	34	43	42
30	34	35	44	43
31	35	36	45	44
32	36	37	46	45
33	38	39	48	47
34	39	40	49	48
35	40	41	50	49
36	41	42	51	50
37	42	43	52	51
38	43	44	53	52
39	44	45	54	53
40	45	46	55	54
41	47	48	57	56
42	48	49	58	57
43	49	50	59	58
44	50	51	60	59
45	51	52	61	60
46	52	53	62	61
47	53	54	63	62
48	54	55	64	63
49	56	57	66	65
50	57	58	67	66
51	58	59	68	67
52	59	60	69	68
53	60	61	70	69
54	61	62	71	70
55	62	63	72	71
56	63	64	73	72
57	65	66	79	78
58	66	67	80	79
59	67	68	81	80
60	68	69	82	81
61	69	70	83	82
62	70	71	84	83
63	71	72	85	84
64	72	73	86	85
65	73	74	87	86
66	74	75	88	87
67	75	76	89	88
68	76	77	90	89
69	78	79	92	91
70	79	80	93	92
71	80	81	94	93
72	81	82	95	94
73	82	83	96	95
74	83	84	97	96
75	84	85	98	97
76	85	86	99	98
77	86	87	100	99
78	87	88	101	100
79	88	89	102	101
80	89	90	103	102
81	91	92	105	104
82	92	93	106	105
83	93	94	107	106
84	94	95	108	107
85	95	96	109	108
86	96	97	110	109
87	97	98	111	110
88	98	99	112	111
89	99	100	113	112
90	100	101	114	113
91	101	102	115	114
92	102	103	116	115
93	104	105	118	117
94	105	106	119	118
95	106	107	120	119
96	107	108	121	120
97	108	109	122	121
98	109	110	123	122
99	110	111	124	123
100	111	112	125	124
101	112	113	126	125
102	113	114	127	126
103	114	115	128	127
104	115	116	129	128
1	0	0	0	0
